"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe16/M_Dual_Blade_Axe16.M_Dual_Blade_Axe16","0","29","29","1","26.300688","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe15/M_Dual_Blade_Axe15.M_Dual_Blade_Axe15","0","29","29","1","24.170105","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe14/M_Dual_Blade_Axe14.M_Dual_Blade_Axe14","0","29","29","1","23.030436","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe13/M_Dual_Blade_Axe13.M_Dual_Blade_Axe13","0","29","29","1","22.778625","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe12/M_Dual_Blade_Axe12.M_Dual_Blade_Axe12","0","29","29","1","22.402845","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe11/M_Dual_Blade_Axe11.M_Dual_Blade_Axe11","0","29","29","1","22.025339","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe10/M_Dual_Blade_Axe10.M_Dual_Blade_Axe10","0","29","29","1","34.270660","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Axe1/M_Dual_Blade_Axe1.M_Dual_Blade_Axe1","0","29","29","1","32.149246","0","0"
"/Game/InfinityBladeWeapons/Weapons/Dual_Blade/Dual_Blade_Arrow/M_Dual_Blade_Arrow.M_Dual_Blade_Arrow","0","29","29","1","21.844637","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Unicorn/M_Blunt_Unicorn.M_Blunt_Unicorn","0","29","29","1","22.557856","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Temperance/M_Blunt_Temperance.M_Blunt_Temperance","0","29","29","1","21.894794","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_StoneHammer/M_Blunt_StoneHammer.M_Blunt_StoneHammer","0","29","29","1","22.142956","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_SpikedClub/M_Blunt_SpikedClub.M_Blunt_SpikedClub","0","29","29","1","22.309975","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_RockyHammer/M_Blunt_RockyHammer.M_Blunt_RockyHammer","0","29","29","1","21.795528","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Ravager/M_Blunt_Ravager.M_Blunt_Ravager","0","29","29","1","22.113798","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Punctuator/M_Blunt_Punctuator.M_Blunt_Punctuator","0","29","29","1","22.160664","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Pulverizer/M_Blunt_Pulverizer.M_Blunt_Pulverizer","0","29","29","1","21.815468","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Primative/M_Blunt_Primative.M_Blunt_Primative","0","29","29","1","21.944830","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_MeatTenderizer/M_Blunt_MeatTenderizer.M_Blunt_MeatTenderizer","0","29","29","1","22.059435","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_JudgeHammer/M_Blunt_JudgeHammer.M_Blunt_JudgeHammer","0","29","29","1","22.328449","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_IceElemental/M_Blunt_IceElemental.M_Blunt_IceElemental","0","29","29","1","23.101473","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Hellhammer_Cine/M_Blunt_Hellhammer_Cine.M_Blunt_Hellhammer_Cine","0","29","29","1","32.927132","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Hellhammer/M_Blunt_Hellhammer.M_Blunt_Hellhammer","0","29","29","1","37.108074","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Hambone/M_Blunt_Hambone.M_Blunt_Hambone","0","29","29","1","40.020187","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_GuitarHammer/M_Blunt_GuitarHammer.M_Blunt_GuitarHammer","0","29","29","1","31.679424","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_FrostGiant/M_Blunt_FrostGiant.M_Blunt_FrostGiant","0","29","29","1","38.185055","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_CrudeHammer/M_Blunt_CrudeHammer.M_Blunt_CrudeHammer","0","29","29","1","35.082394","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Core/M_Blunt_Core.M_Blunt_Core","0","29","29","1","22.572330","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_CinderBlock/M_Blunt_CinderBlock.M_Blunt_CinderBlock","0","29","29","1","21.895155","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Bludgeoner/M_Blunt_Bludgeoner.M_Blunt_Bludgeoner","0","29","29","1","21.012461","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blunt/Blunt_Bell/M_Blunt_Bell.M_Blunt_Bell","0","29","29","1","21.312256","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_SwordB/M_Blade_SwordB.M_Blade_SwordB","0","29","29","1","21.199312","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_SwordA/M_Blade_SwordA.M_Blade_SwordA","0","29","29","1","21.450327","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_HeroSword22/M_Blade_HeroSword22.M_Blade_HeroSword22","0","29","29","1","21.260380","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_HeroSword17/M_Blade_HeroSword17.M_Blade_HeroSword17","0","29","29","1","21.013176","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_HeroSword16/M_Blade_HeroSword16.M_Blade_HeroSword16","0","29","29","1","20.846617","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_HeroSword11/M_Blade_HeroSword11.M_Blade_HeroSword11","0","29","29","1","20.471304","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_HeroSword10/M_Blade_HeroSword.M_Blade_HeroSword","0","29","29","1","21.300510","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_Glimmer/M_Blade_Glimmer.M_Blade_Glimmer","0","29","29","1","21.279449","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_Fencer/M_Blade_Fencer.M_Blade_Fencer","0","29","29","1","21.095615","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_DragonSword/M_Blade_DragonSword.M_Blade_DragonSword","0","29","29","1","21.539669","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_BlackWyrmBlade/M_Blade_BlackWyrmBlade.M_Blade_BlackWyrmBlade","0","29","29","1","21.105679","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Swords/Blade_BlackKnight/M_Blade_BlackKnight.M_Blade_BlackKnight","0","29","29","1","20.938524","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Silly_Weapons/Blade_Sucker/M_Blade_Sucker.M_Blade_Sucker","0","29","29","1","21.104242","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Silly_Weapons/Blade_Finger/M_Blade_Finger.M_Blade_Finger","0","29","29","1","20.910938","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Silly_Weapons/Blade_Driver/M_Blade_Driver.M_Blade_Driver","0","29","29","1","20.916748","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Silly_Weapons/Blade_ChickenBlade/M_Blade_ChickenBlade.M_Blade_ChickenBlade","0","29","29","1","21.986843","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Silly_Weapons/Blade_Chainsaw/M_Blade_Chainsaw.M_Blade_Chainsaw","0","29","29","1","23.868763","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Silly_Weapons/Blade_Bubblewand/M_Blade_Bubblewand.M_Blade_Bubblewand","0","29","29","1","22.695404","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Silly_Weapons/Blade_Balloon/M_Blade_Balloon.M_Blade_Balloon","0","29","29","1","20.489511","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_ThornAxe/M_Blade_ThornAxe.M_Blade_ThornAxe","0","29","29","1","20.673901","0","0"
"/Game/InfinityBladeWeapons/Weapons/Maps/LevelContent/Architecture/M_CycWall_01.M_CycWall_01","0","26","26","1","20.707537","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_AnthraciteAxe/M_Blade_AnthraciteAxe.M_Blade_AnthraciteAxe","0","29","29","1","21.002432","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_GreatBlade/M_Blade_GreatBlade.M_Blade_GreatBlade","0","29","29","1","21.273876","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_SpikeAxe/M_Blade_SpikeAxe.M_Blade_SpikeAxe","0","29","29","1","21.714472","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_Snarl/M_Blade_Snarl.M_Blade_Snarl","0","29","29","1","22.228439","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_SmAxe/M_Blade_SmAxe.M_Blade_SmAxe","0","29","29","1","21.057009","0","0"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_SkexyAxe/M_Blade_SkexyAxe.M_Blade_SkexyAxe","0","29","29","1","20.606342","0","0"
